No Country for Old Men,2007,4.5
Jojo Rabbit,2019,4.5
Au Revoir les Enfants,1987,4.0
The Grand Budapest Hotel,2014,4.5
Hellraiser,1987,4.5
Scott Pilgrim vs. the World,2010,2.0
Ocean's Eight,2018,2.5
I'm Not Here,2017,0.5
He's Just Not That Into You,2009,0.5
The Perfect Score,2004,0.5
Spider-Man: Homecoming,2017,2.5
The Island,2005,4.0
Donnie Darko,2001,5.0
12 Years a Slave,2013,5.0
Se7en,1995,5.0
Fight Club,1999,5.0
Forrest Gump,1994,5.0
Zodiac,2007,4.0
Blade Runner 2049,2017,5.0
Alien,1979,3.5
Blade Runner,1982,5.0
